Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
68134,"гр. София, ж.к. Младост 1, до бл.72А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Връбница, ул. Златен клас 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Сухата река, ул. Тодорини кукли 47","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Гевгелийски, ул. Мачуково, срещу бл. 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Люлин 10, ул. Гоце Делчев (УПИ 8, кв.32)","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Красна поляна, ул. Суходолска №2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Дианабад, ул. Васил Калчев 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ул. Костенски водопад 102","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Овча купел-2, до бл. 18","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Лозенец, ул. Персенк 22, бл. 34","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Иван Вазов, ул.  Стефан Малинов 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Стрелбище, ул. Червена роза 50","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Дружба 2, до бл. 311","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Изток, ул. Атанас Далчев 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, кв. Редута ул. Атанас Узунов 14","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, кв. Борово до бл. 232","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, жк. Младост 2,  ул.Васил Златарски 3","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Лагера, ул. Баба Илийца 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56407,"гр. Пирдоп, ул. Васил Левски 8  ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
72343,"гр. Тетевен, Площад Сава Младенов 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
39921,"гр. Кричим, пл. Демокрация №8","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55302,"гр. Панагюрище, ул. Макгахан №2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Дружба, до бл.86","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Мусагеница, ул. Боян Дановски 11","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Младост 4, ул. Бъднина 15","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
14711,"гр. Генерал Тошево, ул. Иван Вазов 24","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
16359,"гр. Горна Оряховица, ул. Васил Левски 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
67653,"гр. Смолян, бул. България 4, ет. 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Разсадника, бл. 129-130, вх. Г, ет. Партер","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Младост 2, между блок 206 и 209","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55871,"гр. Перник 1, кв. Димова махала, до OMV","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
38902,"гр. Костенец,  Центр. градска част, кв. 89, ул. Търговска","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55871,"гр. Перник 2, кв. ""Изток"", ул. Благой Гебрев,  35А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
65231,"гр. Самоков, ул. Искър 2А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
12259,"гр. Враца, ж.к. Дъбника, кв.119, комплекс РУМ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
48489,"гр. Монтана, бул. Ген. Арнолди 6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
41112,"гр. Кюстендил, ул. Тинтява № 49","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
44238,"гр. Лом, УПИ III в кв. 97, ул. Аспарух № 13","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
3928,"гр. Берковица, ул. Александровскa 65б","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
7702,"гр. Бяла Слатина, ул. Търнавска 41 А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
37798,"гр. Козлодуй, ул. Освободител 47","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
53535,"гр. Омуртаг, ул. Цар Освободител 33","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55052,"гр. Павликени, бул. Руски 39","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
57652,"гр. Попово, ул. „Панайот Хитов” 9","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
61460,"гр. Раднево, ул. Митьо Станев 4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
61577,"гр. Радомир, ул. Милан Грънчаров 1а","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, Възкресение, бул. Възкресение 85","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
70528,"гр. Съединение, ул. Александър Стамболийски 4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
43952,"гр. Ловеч, бул. Мизия 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
87374,"гр. Ямбол, ул. „Преслав"" №266","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
20482,"гр. Девня, бул. Съединение №111","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
61813,"гр. Разлог, ул. Гоце Делчев 53","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Дружба 1, ул. „5030“ 6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
38978,"гр. Костинброд, ул. Йордан Йовков 39","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
35167,"гр. Казанлък, бул. „Княз Александър Батенберг“ 217","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56722,"гр. Плевен, ж.к. Сторгозия № 79","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
61710,"гр. Разград, ж.к. Орел, ул. Юмрукчал 15","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
73198,"гр. Троян, ул. Опълченска 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
36525,"гр. Карнобат, ул. Промишлена зона 29","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Люлин 9, ул. Асен Николов 19","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
87374,"гр. Ямбол, ул. Търговска 85","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
51500,"гр. Несебър, ул. ж.к.Черно море 40-42","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
51809,"гр. Нова Загора, ул. Христо Ботев № 33","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
10971,"гр. Видин, ул. Железничарска №19","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
27632,"гр. Етрополе, бул. Партизанска №1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
151,гр. Айтос ул.Хаджи Димиър 27,"Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, бул. Съединение, РУМ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, бул. Васил Априлов 102","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
702,"гр. Асеновград, ул. Александър Стамболийски 7","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, кв. Христо Смирненски, ул. Равнища 4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
59080,"гр. Първомай,  ул. Орфей 16","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Христо Смирненски, ул. Вечерница 3","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Христо Смирненски, ул. Йордан Гавазов 23","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Гагарин, ул. Огражден, п.к.№400","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, бул. Васил Левски № 3, ет. 1, обект маг. 2 ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Изгрев, ул. Герлово 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
